Дата,Субъект РФ,Инициаторы действия,Вид населенного пункта,Населенный пункт,Кластер,Тема,Объект,Вид объекта,Действие,Ссылка,,
22.09.2017,Брянская область,8. Неизвестно,2.Село,Баклань,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Погибшие воины,2. Группа,2. Реставрация,https://www.bryansk.kp.ru/online/news/2876605/,,
04.10.2017,Брянская область ,6. Частное лицо,1.Город,Стародуб ,2.СоцПол,2.2. Образование и наука,Первый учитель,0. Обезличенные,1. Установка,https://bryansk.bezformata.com/listnews/ustanovili-pamyatnik-pervomu-uchitelyu/61384933/?,,
19.11.2017,Брянская область,8. Неизвестно,2.Село,Пальцо,1.Война,1.5. Локальные конфликты,"Воины, погибшие в Сирии",0. Обезличенные,1. Установка,https://www.bryansk.kp.ru/online/news/2936083/ https://ria.ru/20171120/1509144641.html,добавила,
22.05.2018,Брянская область,8. Неизвестно,2.Село,Сеща,2.СоцПол,2.9 Иное,Погибшие летчики в 1956,2. Группа,1. Установка,https://www.bryansk.kp.ru/online/news/3121826/,,
24.05.2018,Брянская область,8. Неизвестно,1.Город,Брянск,2.СоцПол,2.4. Религия,Кирилл и Мефодий,2. Группа,1. Установка,https://www.bryansk.kp.ru/online/news/3125062/,,
30.06.2018,Брянская область ,5. НПО,2.Село,Дубровка,1.Война,1.5. Локальные конфликты,"Воины, участвовавшие в локальных конфликтах",0. Обезличенные,1. Установка,https://www.bryansk.kp.ru/online/news/3162841/,,
11.07.2018,Брянская область,8. Неизвестно,3.Иное,Унечский район,2.СоцПол,2.9 Иное,Валенки,0. Обезличенные,1. Установка,https://tass.ru/obschestvo/5365432,,
13.07.2018,Брянская область ,8. Неизвестно,2.Село,Старые Умысличи,1.Война,1.4. Великая Отечественная война/Вторая мировая война,"Партизаны и мирные жители, погибшие в мае 1943 года",2. Группа,1. Установка,https://www.bryansk.kp.ru/online/news/3173581/,,
21.07.2018,Брянская область,8. Неизвестно,1.Город,Клинцы,2.СоцПол,2.3. Искусство,Вацлав Воровский и Александр Пушкин,2. Группа,1. Установка,https://www.bryansk.kp.ru/online/news/3181056/,,
07.08.2018,Брянская область,6. Частное лицо,1.Город,Сураж,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Освободители города,2. Группа,1. Установка,http://www.br-tvr.ru/index.php/obshchestvo/24626-zhiteli-surazha-ustanovili-pamyatnik-krasnoarmejtsam,,
24.08.2018,Брянская область,8. Неизвестно,2.Село,Соколовский,1.Война,1.4. Великая Отечественная война/Вторая мировая война,"Воины 65-й Армии Центрального фронта
",2. Группа,2. Реставрация,https://www.bryansk.kp.ru/online/news/3214557/,,
28.08.2018,Брянская область,8. Неизвестно,1.Город,Севск,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Воины 29-й отдельной Новосибирской лыжной бригады,0. Обезличенные,1. Установка,https://www.bryansk.kp.ru/online/news/3218506/,,
24.12.2018,Брянская область,8. Неизвестно,1.Город,Брянск,1.Война,1.6. Иное,Александр Пересвет,1. Личность,2. Реставрация,https://www.bryansk.kp.ru/online/news/3337604/ ,,
13.05.2019,Брянская область,8. Неизвестно,2.Село,Пятилетка,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Воины ВОВ,2. Группа,1. Установка,http://www.br-tvr.ru/index.php/obshchestvo/27272-otkrytie-pamyatnika-soldatam,,
25.05.2019,Брянская область,8. Неизвестно,1.Город,Трубчевск,3.Иное,3.Иное,Ликвидаторы Чернобыльской аварии,0. Обезличенные,1. Установка,https://bryansk.aif.ru/society/v_trubchevske_otkryli_pamyatnik_likvidatoram_avarii_na_chernobylskoy_aes,,
24.06.2019,Брянская область,8. Неизвестно,1.Город,Брянск,2.СоцПол,2.2. Образование и наука,Александр Панченко,1. Личность,1. Установка,https://bryansk.aif.ru/culture/v_bryanske_otkryli_pamyatnuyu_dosku_aleksandru_panchenko,,
31.07.2019,Брянская область,8. Неизвестно,1.Город,Унеча,2.СоцПол,2.9 Иное,Обручальные кольца,0. Обезличенные,1. Установка,https://www.bryansk.kp.ru/online/news/3557031/,,
16.10.2019,Брянская область,5. НПО,1.Город,Дятьково,2.СоцПол,2.5. Здравоохранение,Алексей Доброславин,1. Личность,1. Установка,http://www.br-tvr.ru/index.php/kultura/28824-otkrytie-byusta-dobroslavina,,
08.11.2019,Брянская область,8. Неизвестно,1.Город,Брянск,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Воины-водители,0. Обезличенные,2. Реставрация,http://www.br-tvr.ru/index.php/obshchestvo/28920-otkrytie-pamyatnika-voinam-voditelyam,,
12.12.2019,Брянская область,8. Неизвестно,1.Город,Брянск,2.СоцПол,2.9 Иное,Лесничие,0. Обезличенные,1. Установка,https://www.bryansk.kp.ru/online/news/3702847/,,
26.05.2020,Брянская область ,6. Частное лицо,3.Иное,Суземский район ,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Погибшие воины ,0. Обезличенные,1. Установка,https://bryansk.aif.ru/society/v_zapovednike_bryanskiy_les_ustanovili_pamyatnik_pogibshim_voinam,,
04.09.2020,Брянская область,8. Неизвестно,1.Город,Брянск ,2.СоцПол,2.7 Цари/императоры/вожди,Владимир Ленин ,1. Личность,2. Реставрация,https://www.bryansk.kp.ru/online/news/4002373/,,
11.09.2020,Брянская область ,8. Неизвестно,3.Иное,Брянский район ,1.Война,1.4. Великая Отечественная война/Вторая мировая война,"Сима Кричевская, Светлана и Татьяна Завадские",2. Группа,1. Установка,http://www.br-tvr.ru/index.php/obshchestvo/32326-v-bryanskom-rajone-otkryli-pamyatnik-partizankam,,
15.09.2020,Брянская область ,8. Неизвестно,3.Иное,Фокинский район ,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Танк Т-34 ,0. Обезличенные,2. Реставрация,https://www.bryansk.kp.ru/online/news/4014202/,,
17.09.2020,Брянская область ,8. Неизвестно,3.Иное,Брянский район ,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Партизаны-пожарные и милиционеры ,2. Группа,2. Реставрация,https://www.bryansk.kp.ru/online/news/4018075/,,
23.09.2020,Брянская область ,8. Неизвестно,2.Село,Климово ,2.СоцПол,2.3. Искусство,Антон Чехов ,1. Личность,1. Установка,https://bryansk.aif.ru/society/v_klimovo_mestnyy_zhitel_ustanovil_pamyatnik_chehovu,,
05.10.2020,Брянская область ,8. Неизвестно,1.Город,Новозыбков ,1.Война,1.6. Иное,Пограничники всех поколений,0. Обезличенные,1. Установка,https://www.bryansk.kp.ru/online/news/4036526/?utm_campaign=internal&utm_medium=news_block&utm_source=quote_preview&utm_term=0,,
09.10.2020,Брянская область ,8. Неизвестно,1.Город,Брянск ,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Три героя,0. Обезличенные,2. Реставрация,https://bryansk.aif.ru/society/pamyatnik_trem_geroyam_otkryli_v_bryanske,,
